"gene_id","cluster"
"Irf2bpl",3
"Irf3",5
"Irf8",1
"Irgm1",1
"Ist1",2
"Itgax",1
"Itgb2",1
"Itprid2",1
"Jph3",4
"Jph4",4
"Kcnip2",5
"Kctd10",5
"Kctd15",3
"Kctd17",5
"Kctd20",3
"Klc2",5
"Klhdc3",5
"Klhl40",1
"Kmt2e",2
"Kti12",3
"Kyat1",5
"Lacc1",2
"Lactb2",1
"Lag3",1
"Lair1",1
"Lamp2",1
"Lamtor2",3
"Lamtor4",4
"Laptm5",1
"Lasp1",5
"Ldha",5
"Lemd2",4
"Lgals3",1
"Lgals3bp",1
"Lgmn",2
"Lilrb4a",1
"Limch1",2
"Lrfn1",3
"Lrfn4",4
"Lrp10",4
"Lrp3",5
"Lrrc49",2
"Lrrc8d",2
"Ly6h",4
"Ly9",1
"Lypla2",4
"Lyz2",1
"Lzts3",5
"Maged1",3
"Man2b1",1
"Map1lc3a",4
"Map1s",4
"Map2k2",5
"Map3k10",3
"Mapk8ip1",5
"Mapk8ip2",4
"Mapk9",2
"Marchf4",3
"Marchf7",2
"Marcksl1",3
"Mars1",5
"Maz",5
"Mbd3",5
"Mbip",2
"Mdfic2",1
"Mea1",4
"Mef2a",1
"Mfap3l",1
"Mfge8",4
"Mgat1",4
"Mib2",5
"Mid1-ps1",3
"Mid2",1
"Miga2",4
"Mlf2",4
"Mlph",1
"Mmd2",4
"Mmp15",3
"Mmp17",5
"Mogs",3
"Morf4l2",5
"Morn4",3
"Mpc2",4
"Mpeg1",1
"Mpv17",4
"Mr1",1
"Mrpl20",3
"Mrpl28",4
"Mrpl36",3
"Mrpl53",3
"Mrpl57",4
"Mrps12",5
"Mrps14",4
"Mrps17",5
"Msl1",3
"Msn",1
"mt-Co2",2
"mt-Nd5",2
"Mtch1",4
"Mtfp1",4
"Mtmr10",1
"Mybl1",2
"Myl6",4
"Myl6b",3
"Myo1f",1
"Myof",2
"Mypop",4
"Myrf",1
"Naip2",1
"Naip6",1
"Nat14",5
"Ncapd3",2
"Ncdn",4
"Ncf1",1
"Ncf2",2
"Nckap1l",1
"Ncs1",5
"Ndrg4",4
"Ndufa13",4
"Ndufa8",4
"Ndufb2",3
"Ndufb6",4
"Neat1",1
"Nectin3",3
"Net1",1
"Neto1",2
"Neu4",3
"Nlrc5",1
"Nop58",2
"Nova1",2
"Npc1",1
"Npdc1",5
"Nptx2",3
"Nr1h2",5
"Nr2f6",3
"Nrgn",3
"Nrn1",3
"Nrxn2",3
"Nsmf",4
"Nt5c2",1
"Nudt3",3
"Nup93",2
"Nyap1",4
"Oasl2",1
"Oaz2",4
"Ocrl",2
"Onecut1",1
"Orc3",2
"Ormdl3",4
"Osmr",1
"P3h3",3
"Pacsin1",5
"Palm",4
"Paqr4",5
"Paqr7",5
"Parp14",1
"Parp3",1
"Parp9",2
"Pcbp4",4
"Pcdhb11",1
"Pcdhb12",1
"Pcdhb13",1
"Pcdhb14",1
"Pcdhb2",1
"Pcdhb3",1
"Pcdhb6",1
"Pcdhb8",1
"Pcdhb9",1
"Pcdhga2",1
"Pcdhga6",1
"Pcm1",2
"Pdap1",4
"Pde4b",2
"Pde6d",4
"Pdxp",4
"Pef1",5
"Pex5",5
"Pex6",5
"Pfdn6",4
"Pgam1",3
"Pgam5",3
"Pgap4",4
"Pgk1",5
"Pheta1",5
"Phlda3",4
"Pick1",4
"Pigb",2
"Pik3cg",1
"Pin1",4
"Pirb",1
"Plaat3",1
"Plcg2",1
"Pld1",1
"Plek",1
"Plekha5",1
"Plekhh2",1
"Plk5",4
"Plppr3",4
"Pls1",2
"Pms1",2
"Podxl2",4
"Polr1d",3
"Polr2b",2
"Polr2l",3
"Polr3h",4
"Pop5",3
"Pou3f3",3
"Ppl",1
"Ppp1r16a",4
"Ppp1r21",2
"Ppp1r3b",1
"Ppp1r3g",5
"Ppp1r7",1
"Ppp2r3a",2
"Ppp2r5b",4
"Ppp4c",5
"Ppt1",2
"Prkaa2",1
"Prkcsh",5
"Pros1",1
"Prrt3",5
"Prune2",2
"Psat1",2
"Psmb5",3
"Ptov1",5
"Ptpa",4
"Ptpn6",1
"Ptprc",1
"Pycrl",5
"Pygo2",5
"R3hcc1l",1
"Rab15",5
"Rab1b",4
"Rab28",5
"Rab3a",5
"Rab5c",4
"Rab8b",1
"Rabl6",5
"Rac2",1
"Rad50",2
"Raf1",3
"Rangap1",4
"Rasgrf1",1
"Rasgrp3",1
"Rasl10b",4
"Rbm42",4
"Rcbtb1",1
"Rell2",5
"Rex1bd",4
"Rft1",1
"Rgs20",3
"Rgs4",3
"Rhbdl1",3
"Rimklb",3
"Rims3",4
"Rims4",5
"Ring1",4
"Riok3",2
"Riox1",3
"Rita1",4
"Rnd1",4
"Rnf112",5
"Rnf167",3
"Rnf187",5
"Rnf207",1
"Rnf213",1
"Rnf5",5
"Rplp1",4
"Rprml",4
"Rps19bp1",4
"Rps2",4
"Rps6ka1",2
"Rps6kl1",3
"Rsad2",2
"Rtl8b",5
"Rtn2",4
"Rtp4",1
"Rusc1",3
"Rxrb",4
"Ryk",2
"S100a4",2
"Samd9l",1
"Samm50",4
"Saysd1",4
"Sbf2",1
"Scamp5",4
"Scn2b",5
"Scn7a",1
"Scrt1",5
"Sebox",3
"Sec14l5",1
"Sec61a1",5
"Secisbp2l",2
"Sema3f",3
"Sema7a",5
"Serf2",4
"Serinc3",1
"Serpina3n",2
"Serpinh1",5
"Sft2d2",1
"Sgip1",2
"Sh2b1",5
"Sh3bp5l",4
"Sh3glb1",2
"Sh3glb2",4
"Shld2",2
