"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610009E02Rik","0610009E02Rik",27.341617412321,0.0186489674459482,0.0643567545477906,NA,0.0541633765620167,NA
"0610009L18Rik","0610009L18Rik",30.6989910749996,-0.00764823799932695,0.0529512165957364,NA,0.435952807072399,NA
"0610010K14Rik","0610010K14Rik",181.519924535656,0.00651999048671579,0.0467635998442925,NA,0.635695738061302,0.94076981494756
"0610012G03Rik","0610012G03Rik",365.504154878008,0.000679984852050175,0.0394279114349275,NA,0.9649834660166,0.995884872077547
"0610030E20Rik","0610030E20Rik",412.287007608004,-0.0393113247222517,0.0509060333052073,NA,0.0732202549205814,0.510081062221755
"0610040B10Rik","0610040B10Rik",32.0106675842843,0.0145423521628534,0.0585256433085477,NA,0.132957518081623,NA
"0610040F04Rik","0610040F04Rik",11.0887123048912,0.0100706585968159,0.0575246271169248,NA,0.185537254953726,NA
"0610040J01Rik","0610040J01Rik",55.1046759863067,-0.000955434423277846,0.0498461609544562,NA,0.930380963345988,NA
"1110002E22Rik","1110002E22Rik",46.2673409644979,0.0180748160890388,0.0574949207658982,NA,0.137786613031663,NA
"1110002L01Rik","1110002L01Rik",250.504408986013,0.0340960646641317,0.0580598300299897,NA,0.0772176776433169,0.522785913102168
"1110004F10Rik","1110004F10Rik",1546.13636737985,0.00333968119426429,0.032916103804558,NA,0.829033870505817,0.974809011732914
"1110015O18Rik","1110015O18Rik",22.354370848221,0.00145289292445222,0.0530178930086432,NA,0.853168659678954,NA
"1110017D15Rik","1110017D15Rik",16.9356896342086,0.00783087248001142,0.0569230367118674,NA,0.238841216544468,NA
"1110018N20Rik","1110018N20Rik",74.5350059385837,0.00358510122373037,0.0478985906030336,NA,0.776329089572802,NA
"1110019D14Rik","1110019D14Rik",31.8144566866751,-0.00217962024894515,0.0515866944953518,NA,0.817812784945268,NA
"1110032A03Rik","1110032A03Rik",485.64908439798,0.0133307734132361,0.0386659360991515,NA,0.426078889841395,0.868849500553594
"1110032F04Rik","1110032F04Rik",207.294750268491,0.00778814971697913,0.0423640467911089,NA,0.61632542921604,0.935677058916018
"1110038B12Rik","1110038B12Rik",144.026483239017,-0.0226065932697012,0.0522412722204911,NA,0.176687549708856,NA
"1110038F14Rik","1110038F14Rik",198.633643616738,-0.0232703904617831,0.0500573017186616,NA,0.18735363553452,0.697184661728275
"1110046J04Rik","1110046J04Rik",47.8828781741181,-0.00522217450255694,0.0508125231954118,NA,0.628650744463177,NA
"1110059E24Rik","1110059E24Rik",351.877904489326,-0.00888971447147348,0.0408626113932326,NA,0.577810118908259,0.924442573477566
"1110059G10Rik","1110059G10Rik",227.651227137396,-0.00273468078839752,0.0417117020758771,NA,0.856755978737285,0.979578835114282
"1110065P20Rik","1110065P20Rik",392.784120212174,-0.0460982672814122,0.0608863752283174,NA,0.0418217440004309,0.405099196333762
"1190005I06Rik","1190005I06Rik",73.6692626562025,0.0117918098546589,0.0519622346543093,NA,0.338984622548748,NA
"1190007I07Rik","1190007I07Rik",66.5050684491388,0.00219535355965758,0.0480753384393634,NA,0.85888755242053,NA
"1300002E11Rik","1300002E11Rik",119.179632000262,0.00512032074300584,0.0457938641092102,NA,0.714266004268344,NA
"1300014J16Rik","1300014J16Rik",20.0538148174978,0.00824336148380439,0.0543820964369827,NA,0.353607708797175,NA
"1500002C15Rik","1500002C15Rik",25.2179610071455,-0.00385291736286112,0.0521495804019973,NA,0.676586968754185,NA
"1500004A13Rik","1500004A13Rik",1582.20612687184,0.000653009213176291,0.030923551821129,NA,0.965495516549002,0.995884872077547
"1500009L16Rik","1500009L16Rik",193.341591097004,-0.00244423839471795,0.0416472415960339,NA,0.871822495108898,0.979952182623775
"1500011B03Rik","1500011B03Rik",1334.23309003474,-0.0330658207075719,0.0433505373699677,NA,0.104525073142165,0.580026281828534
"1500015A07Rik","1500015A07Rik",76.1555614216833,0.00657854272388749,0.047709560057042,NA,0.620143117900754,NA
"1500015L24Rik","1500015L24Rik",30.2644297403737,0.00385381376580182,0.0527429814678426,NA,0.655719368565926,NA
"1500026H17Rik","1500026H17Rik",44.3947402521784,-0.0208727740271308,0.0616771190234651,NA,0.0767949256132941,NA
"1600012H06Rik","1600012H06Rik",293.101495096074,0.0125526535777996,0.0410146742102128,NA,0.44811657139258,0.877588300140764
"1600014C10Rik","1600014C10Rik",531.539269060162,-0.00177406485408079,0.0326360266645989,NA,0.908238614486189,0.987142475631768
"1600020E01Rik","1600020E01Rik",113.76504430452,0.000415782801312442,0.0458601383011362,NA,0.975530307786794,NA
"1600029O15Rik","1600029O15Rik",17.5001056258542,0.005909020594243,0.0538152294108592,NA,0.47687623719728,NA
"1700001L05Rik","1700001L05Rik",76.4744857556837,-0.00290578267940724,0.0492137126192313,NA,0.802489127697459,NA
"1700001L19Rik","1700001L19Rik",148.375925849068,-0.0233133700537673,0.0521474167565007,NA,0.171152748086621,NA
"1700001O22Rik","1700001O22Rik",55.9243434299893,0.000700804739579505,0.0495109797385538,NA,0.95010808770751,NA
"1700003E16Rik","1700003E16Rik",339.964204826035,-0.0157465833198257,0.0461099824044272,NA,0.336138680896819,0.829991585233145
"1700003M07Rik","1700003M07Rik",263.202387410533,-0.00791627426924921,0.0420113311355041,NA,0.612676216414014,0.935677058916018
"1700008J07Rik","1700008J07Rik",35.6836523376672,0.00132334369371517,0.0514996866514592,NA,0.888641765242717,NA
