"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700030C10Rik","1700030C10Rik",18.8115497294782,0.179601728068719,0.306008298661243,NA,0.00859024428976641,0.0771180687934397
"1810014B01Rik","1810014B01Rik",67.125666702158,-0.0525675710243617,0.0980129148478284,NA,0.220808218542913,0.528410029013086
"2610005L07Rik","2610005L07Rik",572.218284381562,0.02479505750871,0.0754849355971929,NA,0.557364080666116,0.806898254535767
"4933427D14Rik","4933427D14Rik",479.903852990203,-0.0186923557443428,0.0714286903880522,NA,0.656334425155891,0.858204840976782
"6820431F20Rik","6820431F20Rik",1898.54595302457,0.111959802850003,0.0645491886247151,NA,0.0153910600719901,0.112339891843786
"A530058N18Rik","A530058N18Rik",89.1103120596197,-0.00303218334765177,0.0824703573012979,NA,0.939880407852253,0.980739406407427
"Aldoa","Aldoa",24017.5167395544,-0.0486233817974821,0.039116927093967,NA,0.12030439880943,0.387816944610684
"Arhgap26","Arhgap26",1843.44840750929,0.0585039883311856,0.0485418647072715,NA,0.115492618857813,0.380049523715256
"Atp5o","Atp5o",2210.41073238699,-0.0406523907681841,0.0441138487244226,NA,0.233728728195483,0.541865989353111
"AW822252","AW822252",38.5493757856556,0.0479083376672466,0.117149097526419,NA,0.20791222712698,0.512862599425561
"Bfar","Bfar",628.846280994439,-0.00446243252813586,0.0545046225925904,NA,0.908358520716656,0.96890762530628
"C920006O11Rik","C920006O11Rik",61.1589859408325,0.0552741606960526,0.110460588925439,NA,0.18103337195507,0.47929029802228
"Ddit3","Ddit3",303.176825568542,-0.0136609440303022,0.0700508436596295,NA,0.743784349358141,0.902468945578868
"Fam220a","Fam220a",521.479057762877,-0.0144694199357718,0.0998060127052142,NA,0.679131161615084,0.871382516977746
"Gcat","Gcat",144.901594181747,0.0164961139451727,0.0877838834624446,NA,0.676180747593146,0.870000978077335
"Gm16499","Gm16499",11.9588119278324,0.0276116326504024,0.135291017726441,NA,0.322911106376235,0.631255687999671
"Gm16701","Gm16701",144.470688841924,-0.00699731966342641,0.0796561408325981,NA,0.86403734746396,0.952316948824465
"Gm2011","Gm2011",84.4397505412197,-0.000317612518135466,0.0830112041495328,NA,0.993673111764745,0.997181453790111
"Gm20257","Gm20257",15.4454261317284,0.0573309024722246,0.14338221614883,NA,0.123397530861827,0.393460226325309
"Gm38642","Gm38642",25.7869584770503,0.59222703728283,0.444889040471311,NA,0.000318853395258957,0.00710147159497162
"Gm4988","Gm4988",74.6656947569824,0.0594896449436828,0.126986205228589,NA,0.135877392586434,0.412749334390831
"Gm5089","Gm5089",62.3328223221359,0.000441140664982782,0.0903627458654909,NA,0.990691306222816,0.996786029581011
"Gm5113","Gm5113",557.401490205439,0.0684900560715158,0.0661675247626531,NA,0.12129320424064,0.389757131523513
"Gm5468","Gm5468",48.5738544915181,0.0551919496626335,0.112284490212111,NA,0.178019079622252,0.474697629669003
"H2-K2","H2-K2",43.3427906051587,0.0956322263285115,0.14501797597267,NA,0.0481850775261583,0.232229566845816
"Nlrp5-ps","Nlrp5-ps",28.6487556839926,2.11601368402097,0.361522958253711,NA,7.95691475105555e-11,2.25777456061201e-08
"Nnt","Nnt",146.272521974391,-0.0264700338580787,0.138795726248174,NA,0.324782500451849,0.633303955354016
"Nrg1","Nrg1",246.082166286271,-0.0259515151699217,0.0752966436392139,NA,0.539963099559237,0.79754437530271
"Ppp4r1l-ps","Ppp4r1l-ps",343.173368006479,0.0128372917711636,0.0624347360274362,NA,0.754042899838055,0.907237281350011
"Ptp4a1","Ptp4a1",2002.56430274989,-0.031655499227895,0.0521428301693929,NA,0.406453457853444,0.704158901579943
"Rmrp","Rmrp",11.3956954023139,9.21100993024609e-05,0.128178796253698,NA,0.996810213628144,0.998168247467375
"Septin2","Septin2",765.157347332645,-0.0338215889672419,0.0679448060891738,NA,0.426557270882206,0.718838390986893
"Snhg4","Snhg4",125.663321183507,-0.0426943241887792,0.0802129760953641,NA,0.327427319643641,0.63650845475134
"St6galnac2","St6galnac2",76.5287932001845,0.0119086912823542,0.0856435379185686,NA,0.76441559004813,0.911373478154364
"Tmem147os","Tmem147os",192.981370233586,0.0223357063779532,0.0718603957350109,NA,0.596472534802832,0.827826731977987
"Ube2d-ps","Ube2d-ps",309.170871639193,0.0500641210202101,0.0654695517100519,NA,0.244332990044128,0.555032339070935
