"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700030C10Rik","1700030C10Rik",18.8115497294782,0.00125149844491345,0.0303847119984186,NA,0.524605184326918,0.998247310877139
"1810014B01Rik","1810014B01Rik",67.125666702158,-0.00246007078642719,0.0259068453171722,NA,0.276549363288959,0.981456352744207
"2610005L07Rik","2610005L07Rik",572.218284381562,0.00110096135689128,0.0162222875974097,NA,0.48852397954701,0.996521899093947
"4933427D14Rik","4933427D14Rik",479.903852990203,-0.00157742918370279,0.0174917190265554,NA,0.349392797441286,0.991713245703779
"6820431F20Rik","6820431F20Rik",1898.54595302457,-7.47763946208337e-05,0.00768149644220035,NA,0.927577496227209,0.998742538972786
"A530058N18Rik","A530058N18Rik",89.1103120596197,-0.00242009806635158,0.0247289692393799,NA,0.273158596262803,0.981456352744207
"Aldoa","Aldoa",24017.5167395544,0.000718862742961051,0.00704378001953371,NA,0.29598731116079,0.986622875283746
"Arhgap26","Arhgap26",1843.44840750929,0.00121492357500914,0.0105951559084315,NA,0.233426110084314,0.972886051110891
"Atp5o","Atp5o",2210.41073238699,-0.000291172482439697,0.00598743972014613,NA,0.639201248506084,0.998247310877139
"AW822252","AW822252",38.5493757856556,0.00159259535198321,0.0272623860028376,NA,0.448988158638669,0.996521899093947
"Bfar","Bfar",628.846280994439,8.14997118944223e-05,0.00823373293415273,NA,0.926358348869724,0.998742538972786
"C920006O11Rik","C920006O11Rik",61.1589859408325,-0.00237672251702863,0.0284518239909974,NA,0.301483349170689,0.986622875283746
"Ddit3","Ddit3",303.176825568542,0.00200186618040963,0.019103735129368,NA,0.27206293971739,0.981456352744207
"Fam220a","Fam220a",521.479057762877,0.00158559292140192,0.0266552095127147,NA,0.450210285456035,0.996521899093947
"Gcat","Gcat",144.901594181747,0.000322016426147303,0.0183543615276555,NA,0.85242793094306,0.998742538972786
"Gm16499","Gm16499",11.9588119278324,0.00105373797396939,0.033043334884277,NA,0.558059857119707,0.998247310877139
"Gm16701","Gm16701",144.470688841924,-0.00148386364843086,0.0196088221303869,NA,0.420098370162581,0.996521899093947
"Gm2011","Gm2011",84.4397505412197,-0.000392505520374458,0.0171615045210597,NA,0.813333763731398,0.998742538972786
"Gm20257","Gm20257",15.4454261317284,0.00012155440784166,0.0271420868208169,NA,0.948525023791168,0.998742538972786
"Gm38642","Gm38642",25.7869584770503,-0.00201265053573694,0.0310226521102141,NA,0.356643168659666,0.993652237800465
"Gm4988","Gm4988",74.6656947569824,-0.000239786422012591,0.0238861527671646,NA,0.899836450294881,0.998742538972786
