"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700030C10Rik","1700030C10Rik",18.8115497294782,0.0210246073306798,0.0851821516555255,NA,0.106197865733884,0.542067557432962
"1810014B01Rik","1810014B01Rik",67.125666702158,0.010191184784061,0.0585918750905575,NA,0.562215393756166,0.889830461265969
"2610005L07Rik","2610005L07Rik",572.218284381562,0.00213047578649213,0.0519157494508885,NA,0.918168021063237,0.982299109308305
"4933427D14Rik","4933427D14Rik",479.903852990203,-0.00934776049264532,0.0512612559500371,NA,0.664895868169144,0.921115548841125
"6820431F20Rik","6820431F20Rik",1898.54595302457,0.0332750113623109,0.045660843098586,NA,0.198600711639941,0.671247612816862
"A530058N18Rik","A530058N18Rik",89.1103120596197,0.00869259140442296,0.056852985858332,NA,0.635891872866931,0.914915054315062
"Aldoa","Aldoa",24017.5167395544,-0.0488704640730523,0.0350710185850859,NA,0.0543471675009766,0.422080396671807
"Arhgap26","Arhgap26",1843.44840750929,-0.00470362679317152,0.036352767169852,NA,0.845983303102589,0.964008741949703
"Atp5o","Atp5o",2210.41073238699,-0.037558097151864,0.0383691915383526,NA,0.144315431984525,0.605697890711596
"AW822252","AW822252",38.5493757856556,0.00220658546383084,0.0625515907518089,NA,0.870872072528778,0.969884409614576
"Bfar","Bfar",628.846280994439,0.00231714460235327,0.0429133014293093,NA,0.923353254393897,0.982922436679776
"C920006O11Rik","C920006O11Rik",61.1589859408325,0.0360501838085511,0.0858406071979743,NA,0.0582474577157551,0.439274847225129
"Ddit3","Ddit3",303.176825568542,-0.0601212215852698,0.072545233613029,NA,0.0313644357693238,0.344045662449867
"Fam220a","Fam220a",521.479057762877,-0.00418844523833395,0.0624498946326157,NA,0.763065345800722,0.947396168225594
"Gcat","Gcat",144.901594181747,0.00188652678580067,0.0573979949701006,NA,0.912724807063182,0.980210677496212
"Gm16499","Gm16499",11.9588119278324,-0.000947951703702269,0.0701650591212422,NA,0.914967613325548,0.980808875796754
"Gm16701","Gm16701",144.470688841924,0.010270822124818,0.0556544626143909,NA,0.595573616040338,0.902267479598922
"Gm2011","Gm2011",84.4397505412197,-0.0254414802619329,0.0641843021066323,NA,0.194512685535808,0.667166755660171
"Gm20257","Gm20257",15.4454261317284,-0.00767787421160394,0.0687905955004394,NA,0.496192904357324,0.864704027493343
"Gm38642","Gm38642",25.7869584770503,0.363288306463488,0.434510488109264,NA,0.000152611460020858,0.017781237483795
"Gm4988","Gm4988",74.6656947569824,0.125440317527951,0.234159881581032,NA,0.00192505683988834,0.0840361351258948
"Gm5089","Gm5089",62.3328223221359,-0.000343546427763925,0.0588988505518223,NA,0.98296760339496,0.99500845923413
"Gm5113","Gm5113",557.401490205439,0.0903668164855733,0.0716592718801225,NA,0.00726745461959145,0.170675176850062
"Gm5468","Gm5468",48.5738544915181,-0.00129810530194662,0.0603349044407092,NA,0.931392230425109,0.985253351405818
"H2-K2","H2-K2",43.3427906051587,-0.011938903745384,0.0632641012828332,NA,0.438427395036773,0.840204210055839
"Nlrp5-ps","Nlrp5-ps",28.6487556839926,0.0147222639692051,0.0671760634384441,NA,0.314780399750267,0.762914973556682
"Nnt","Nnt",146.272521974391,0.00590929868586924,0.0736255618897717,NA,0.487943207953745,0.86004205567889
"Nrg1","Nrg1",246.082166286271,-0.00341993914531426,0.0519317015263683,NA,0.869245055724875,0.969687438555134
