"gene_id","rsq","cluster"
"Fscn1",NA,3
"Fth1",NA,1
"Fxyd7",NA,3
"G6pdx",NA,2
"Gabarapl1",NA,4
"Gabbr1",NA,3
"Gadd45gip1",NA,5
"Galc",NA,2
"Galnt6",NA,1
"Gas2l1",NA,5
"Gbp6",NA,1
"Gbp7",NA,1
"Gclc",NA,2
"Gcnt1",NA,1
"Gfap",NA,1
"Gfod2",NA,5
"Gga1",NA,3
"Ggta1",NA,1
"Gipr",NA,2
"Gm10524",NA,1
"Gm13889",NA,3
"Gm19500",NA,1
"Gm20559",NA,1
"Gm2415",NA,4
"Gm26740",NA,1
"Gm29216",NA,2
"Gm37206",NA,1
"Gm38340",NA,1
"Gm44861",NA,2
"Gm45104",NA,1
"Gm45351",NA,1
"Gm49759",NA,1
"Gmppb",NA,5
"Gnb2",NA,3
"Gng2",NA,2
"Gnl2",NA,2
"Gns",NA,2
"Golga7b",NA,3
"Gpam",NA,2
"Gpc1",NA,4
"Gpnmb",NA,1
"Gpr137",NA,4
"Gpr153",NA,3
"Gpr162",NA,4
"Gpr17",NA,3
"Gpr22",NA,1
"Gpr27",NA,3
"Gpr37l1",NA,4
"Gstcd",NA,2
"Gvin-ps7",NA,1
"H2-D1",NA,1
"H2-K1",NA,1
"H2-Q4",NA,1
"H2-Q6",NA,1
"H2-Q7",NA,1
"H2aw",NA,5
"H2az1",NA,4
"H2az2",NA,5
"Hapln2",NA,1
"Hax1",NA,5
"Hepacam",NA,2
"Hexb",NA,1
"Hikeshi",NA,3
"Hmga1",NA,5
"Hpgds",NA,1
"Hspa4",NA,3
"Hspbp1",NA,5
"Hspd1",NA,5
"Hspe1",NA,5
"Htr2c",NA,2
"Hvcn1",NA,1
"Idnk",NA,4
"Ier5l",NA,3
"Ifi204",NA,1
"Ifi207",NA,2
"Ifih1",NA,1
"Ifit2",NA,2
"Ifit3",NA,1
"Ifit3b",NA,1
"Ifitm3",NA,1
"Igsf21",NA,3
"Igsf8",NA,4
"Il15ra",NA,1
"Impdh1",NA,5
"Inha",NA,4
"Ino80c",NA,2
"Insyn1",NA,5
"Ipo5",NA,2
"Irf2bp1",NA,4
"Irf2bpl",NA,3
"Irf3",NA,5
"Irf8",NA,1
"Irgm1",NA,1
"Ist1",NA,2
"Itgax",NA,1
"Itgb2",NA,1
"Itprid2",NA,1
"Jph3",NA,4
"Jph4",NA,4
"Kcnip2",NA,5
"Kctd10",NA,5
"Kctd15",NA,3
"Kctd17",NA,5
"Kctd20",NA,3
"Klc2",NA,5
"Klhdc3",NA,5
"Klhl40",NA,1
"Kmt2e",NA,2
"Kti12",NA,3
"Kyat1",NA,5
"Lacc1",NA,2
"Lactb2",NA,1
"Lag3",NA,1
"Lair1",NA,1
"Lamp2",NA,1
"Lamtor2",NA,3
"Lamtor4",NA,4
"Laptm5",NA,1
"Lasp1",NA,5
"Ldha",NA,5
"Lemd2",NA,4
"Lgals3",NA,1
"Lgals3bp",NA,1
"Lgmn",NA,2
"Lilrb4a",NA,1
"Limch1",NA,2
"Lrfn1",NA,3
"Lrfn4",NA,4
"Lrp10",NA,4
"Lrp3",NA,5
"Lrrc49",NA,2
"Lrrc8d",NA,2
"Ly6h",NA,4
"Ly9",NA,1
"Lypla2",NA,4
"Lyz2",NA,1
"Lzts3",NA,5
"Maged1",NA,3
"Man2b1",NA,1
"Map1lc3a",NA,4
"Map1s",NA,4
"Map2k2",NA,5
"Map3k10",NA,3
"Mapk8ip1",NA,5
"Mapk8ip2",NA,4
"Mapk9",NA,2
"Marchf4",NA,3
"Marchf7",NA,2
"Marcksl1",NA,3
"Mars1",NA,5
"Maz",NA,5
"Mbd3",NA,5
"Mbip",NA,2
"Mdfic2",NA,1
"Mea1",NA,4
"Mef2a",NA,1
"Mfap3l",NA,1
"Mfge8",NA,4
"Mgat1",NA,4
"Mib2",NA,5
"Mid1-ps1",NA,3
"Mid2",NA,1
"Miga2",NA,4
"Mlf2",NA,4
"Mlph",NA,1
"Mmd2",NA,4
"Mmp15",NA,3
"Mmp17",NA,5
"Mogs",NA,3
"Morf4l2",NA,5
"Morn4",NA,3
"Mpc2",NA,4
"Mpeg1",NA,1
"Mpv17",NA,4
"Mr1",NA,1
"Mrpl20",NA,3
"Mrpl28",NA,4
"Mrpl36",NA,3
"Mrpl53",NA,3
"Mrpl57",NA,4
"Mrps12",NA,5
"Mrps14",NA,4
"Mrps17",NA,5
"Msl1",NA,3
"Msn",NA,1
"mt-Co2",NA,2
"mt-Nd5",NA,2
"Mtch1",NA,4
"Mtfp1",NA,4
"Mtmr10",NA,1
"Mybl1",NA,2
"Myl6",NA,4
"Myl6b",NA,3
"Myo1f",NA,1
"Myof",NA,2
"Mypop",NA,4
"Myrf",NA,1
"Naip2",NA,1
"Naip6",NA,1
"Nat14",NA,5
"Ncapd3",NA,2
"Ncdn",NA,4
"Ncf1",NA,1
"Ncf2",NA,2
"Nckap1l",NA,1
"Ncs1",NA,5
"Ndrg4",NA,4
"Ndufa13",NA,4
"Ndufa8",NA,4
"Ndufb2",NA,3
"Ndufb6",NA,4
"Neat1",NA,1
"Nectin3",NA,3
"Net1",NA,1
"Neto1",NA,2
"Neu4",NA,3
"Nlrc5",NA,1
"Nop58",NA,2
"Nova1",NA,2
"Npc1",NA,1
"Npdc1",NA,5
"Nptx2",NA,3
"Nr1h2",NA,5
"Nr2f6",NA,3
"Nrgn",NA,3
"Nrn1",NA,3
"Nrxn2",NA,3
"Nsmf",NA,4
"Nt5c2",NA,1
"Nudt3",NA,3
"Nup93",NA,2
"Nyap1",NA,4
"Oasl2",NA,1
"Oaz2",NA,4
"Ocrl",NA,2
"Onecut1",NA,1
"Orc3",NA,2
"Ormdl3",NA,4
"Osmr",NA,1
"P3h3",NA,3
"Pacsin1",NA,5
"Palm",NA,4
"Paqr4",NA,5
"Paqr7",NA,5
"Parp14",NA,1
"Parp3",NA,1
"Parp9",NA,2
"Pcbp4",NA,4
"Pcdhb11",NA,1
"Pcdhb12",NA,1
"Pcdhb13",NA,1
"Pcdhb14",NA,1
"Pcdhb2",NA,1
"Pcdhb3",NA,1
"Pcdhb6",NA,1
"Pcdhb8",NA,1
"Pcdhb9",NA,1
"Pcdhga2",NA,1
"Pcdhga6",NA,1
"Pcm1",NA,2
"Pdap1",NA,4
"Pde4b",NA,2
"Pde6d",NA,4
"Pdxp",NA,4
"Pef1",NA,5
"Pex5",NA,5
"Pex6",NA,5
"Pfdn6",NA,4
"Pgam1",NA,3
"Pgam5",NA,3
"Pgap4",NA,4
"Pgk1",NA,5
"Pheta1",NA,5
"Phlda3",NA,4
"Pick1",NA,4
"Pigb",NA,2
"Pik3cg",NA,1
"Pin1",NA,4
"Pirb",NA,1
"Plaat3",NA,1
"Plcg2",NA,1
"Pld1",NA,1
"Plek",NA,1
"Plekha5",NA,1
"Plekhh2",NA,1
"Plk5",NA,4
"Plppr3",NA,4
"Pls1",NA,2
"Pms1",NA,2
"Podxl2",NA,4
"Polr1d",NA,3
"Polr2b",NA,2
"Polr2l",NA,3
"Polr3h",NA,4
"Pop5",NA,3
