"cluster","pattern","n_genes","Time6","Time15","Time24","Time30"
1,"Linear Increase",222,-1.09070152563373,-0.442744966895936,0.434272449782644,1.09917404274702
2,"Late Response",148,-0.47064077180729,-0.91841736743595,0.0922600782695664,1.29679806097367
3,"Linear Decrease",132,1.12210766160695,0.369395378122414,-0.428765383478834,-1.06273765625053
4,"Linear Decrease",181,0.637787840541916,0.629228269356188,0.159775787083455,-1.42679189698156
5,"Early Response",162,0.484318369124183,1.00658832572632,-0.26116222567102,-1.22974446917948
