"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.00920014281814121,20,53,2,0.0377358490566038,0.1,"GO:0060340","GO:BP","positive regulation of type I interferon-mediated signaling pathway",25907,14343,"GO:0001961;GO:0045089;GO:0060337;GO:0060338"
"query_1",TRUE,0.00920014281814121,20,53,2,0.0377358490566038,0.1,"GO:0060333","GO:BP","type II interferon-mediated signaling pathway",25907,14336,"GO:0071346;GO:0140888"
"query_1",TRUE,0.00942598798251793,978,53,8,0.150943396226415,0.0081799591002045,"GO:0030334","GO:BP","regulation of cell migration",25907,6743,"GO:0016477;GO:2000145"
"query_1",TRUE,0.0094353684584673,1775,53,11,0.207547169811321,0.00619718309859155,"GO:0051240","GO:BP","positive regulation of multicellular organismal process",25907,13408,"GO:0032501;GO:0048518;GO:0051239"
"query_1",TRUE,0.00959108399968096,90,53,3,0.0566037735849057,0.0333333333333333,"GO:0032642","GO:BP","regulation of chemokine production",25907,7634,"GO:0001817;GO:0032602"
"query_1",TRUE,0.00959108399968096,206,53,4,0.0754716981132075,0.0194174757281553,"GO:0050866","GO:BP","negative regulation of cell activation",25907,13142,"GO:0001775;GO:0048523;GO:0050865;GO:0051241"
"query_1",TRUE,0.00959108399968096,358,53,5,0.0943396226415094,0.0139664804469274,"GO:0032102","GO:BP","negative regulation of response to external stimulus",25907,7319,"GO:0009605;GO:0032101;GO:0048585"
"query_1",TRUE,0.00959108399968096,90,53,3,0.0566037735849057,0.0333333333333333,"GO:0032602","GO:BP","chemokine production",25907,7595,"GO:0001816"
"query_1",TRUE,0.00959108399968096,21,53,2,0.0377358490566038,0.0952380952380952,"GO:0030449","GO:BP","regulation of complement activation",25907,6770,"GO:0002697;GO:0002920;GO:0006956"
"query_1",TRUE,0.00959108399968096,359,53,5,0.0943396226415094,0.0139275766016713,"GO:0070661","GO:BP","leukocyte proliferation",25907,16014,"GO:0008283"
"query_1",TRUE,0.0104637164612145,22,53,2,0.0377358490566038,0.0909090909090909,"GO:0048245","GO:BP","eosinophil chemotaxis",25907,12436,"GO:0071621;GO:0072677"
"query_1",TRUE,0.010468025081917,6843,53,25,0.471698113207547,0.00365336840567003,"GO:0007165","GO:BP","signal transduction",25907,2716,"GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716"
"query_1",TRUE,0.0109592532893956,562,53,6,0.113207547169811,0.0106761565836299,"GO:0002694","GO:BP","regulation of leukocyte activation",25907,1210,"GO:0002682;GO:0045321;GO:0050865"
